address,price,options,price_m2
"SQNW 106 Bloco H Noroeste, Brasilia",A partir de 1.047.073,"[' Apartamento 76 a 180 m²', '2 quartos', 'Em Construção', '9 plantas']",
"SQN 412 Bloco I, ASA NORTE, BRASILIA",560.000,"['Venda Apartamento 68 m²', '2 Quartos', '1 Suíte']",8.235
"SQNW 305 Bloco A, NOROESTE, BRASILIA",1.150.000,"['Venda Apartamento 83 m²', '2 Quartos', '1 Suíte', '2 Vagas']",13.855
"SQN 307 Bloco G, ASA NORTE, BRASILIA",1.365.000,"['Venda Apartamento 123 m²', '3 Quartos', '1 Suíte', '1 Vaga']",11.097
"SQNW 106 Bloco F Noroeste, Brasilia",A partir de 3.812.647,"[' Apartamento 272 a 486 m²', '4 quartos', 'Em Construção', '2 plantas']",
"SQNW 302 Bloco A, NOROESTE, BRASILIA",899.000,"['Venda Apartamento 64 m²', '2 Quartos', '1 Suíte', '1 Vaga']",14.046
"Rua 36, SUL, AGUAS CLARAS",2.500.000,"['Venda Apartamento 263 m²', '4 Quartos', '4 Suítes', '3 Vagas']",9.483
"SQNW 305 Bloco A, NOROESTE, BRASILIA",1.150.000,"['Venda Apartamento 79 m²', '2 Quartos', '1 Suíte', '2 Vagas']",14.556
"QN 321 Conjunto B Samambaia Sul, Samambaia",A partir de 177.490,"[' Apartamento 43 a 60 m²', '2 quartos', 'Lançamento', '2 plantas']",
"Quadra 302 Conjunto 12, SAMAMBAIA SUL, SAMAMBAIA",289.000,"['Venda Apartamento 59 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.898
"SQSW 300 Bloco S, SUDOESTE, BRASILIA",3.525.000,"['Venda Apartamento 261 m²', '4 Quartos', '4 Suítes', '3 Vagas']",13.505
"QS 5 Rua 470, AREAL, AGUAS CLARAS",550.000,"['Venda Casa Condominio 280 m²', '5 Quartos', '2 Suítes', '4 Vagas']",1.964
"SQNW 302 Noroeste, Brasilia",Sob Consulta,"[' Apartamento 81 a 180 m²', '2 quartos', 'Em Construção', '2 plantas']",
"QE 5, GUARA I, GUARA",241.000,"['Venda Apartamento 29 m²', '1 Quarto', '1 Suíte', '1 Vaga']",8.298
"SMDB, LAGO SUL, BRASILIA",5.200.000,"['Venda Casa 720 m²', '5 Quartos', '5 Suítes', '8 Vagas']",7.222
"SQNW 106, NOROESTE, BRASILIA",1.984.466,"['Venda Apartamento 135 m²', '4 Quartos', '4 Suítes', '3 Vagas']",14.615
"QS 5 Rua 400 Areal, Aguas Claras",A partir de 369.726,"[' Apartamento 60 a 72 m²', '2 a 3 quartos', 'Lançamento', '2 plantas']",
"SMDB, LAGO SUL, BRASILIA",6.200.000,"['Venda Casa 694 m²', '6 Quartos', '6 Suítes', '10 Vagas']",8.933
"QI 18 Conjunto I, GUARA I, GUARA",1.199.900,"['Venda Casa 416 m²', '3 Quartos', '3 Suítes', '3 Vagas']",2.884
"SHIS QI 23 Conjunto 9, LAGO SUL, BRASILIA",6.799.000,"['Venda Casa 1482 m²', '4 Quartos', '4 Suítes', '8 Vagas']",4.587
"CLSW 105 BLOCO B Sudoeste, Brasilia",A partir de 1.834.331,"[' Loja 97 m²', 'Pronto Para Morar', '2 plantas']",
"Rua 30, NORTE, AGUAS CLARAS",739.000,"['Venda Apartamento 101 m²', '3 Quartos', '1 Suíte', '2 Vagas']",7.252
"QR 631, SAMAMBAIA NORTE, SAMAMBAIA",145.000,"['Venda Casa 126 m²', '3 Quartos', '2 Vagas']",1.150
"CA 05, LAGO NORTE, BRASILIA",370.000,"['Venda Apartamento 49 m²', '2 Quartos', '1 Suíte']",7.551
"SQNW 106 Bloco D Noroeste, Brasilia",A partir de 2.429.749,"[' Apartamento 165 m²', '4 quartos', 'Em Construção', '3 plantas']",
"SMPW Quadra 17 Conjunto 14, PARK WAY, BRASILIA",2.950.000,"['Venda Casa Condominio 767 m²', '5 Quartos', '5 Suítes', '12 Vagas']",3.846
"SMDB Conjunto 17, LAGO SUL, BRASILIA",6.150.000,"['Venda Casa 682 m²', '5 Quartos', '4 Suítes', '3 Vagas']",9.005
"SQS 106 Bloco D, ASA SUL, BRASILIA",1.550.000,"['Venda Apartamento 178 m²', '3 Quartos', '1 Suíte']",8.707
"QS 113 Conjunto B Samambaia Sul, Samambaia",202.785,"[' Apartamento 61 m²', '2 quartos', 'Em Construção', '1 planta']",
"ADE Conjunto 02, ADE, NUCLEO BANDEIRANTE",2.100.000,"['Venda Prédio 760 m²', '19 Vagas']",2.763
"SHIGS 715 Bloco F, ASA SUL, BRASILIA",1.490.000,"['Venda Casa 293 m²', '4 Quartos', '1 Suíte', '4 Vagas']",5.085
