address,price,options,price_m2
"SHIS QI 28, LAGO SUL, BRASILIA",2.942.500,"['Venda Casa 350 m²', '4 Quartos', '4 Suítes', '4 Vagas']",8.407
"Residencial 1 Quadra X, ALPHAVILLE BRASILIA, ALPHAVILLE",220.000,['Venda Lote/Terreno 558 m²'],394
"SMDB Conjunto 12, LAGO SUL, BRASILIA",3.380.000,"['Venda Casa 468 m²', '4 Quartos', '4 Suítes', '3 Vagas']",7.209
"SHS Quadra 06 Blocos A AO F Lote 01, ASA SUL, BRASILIA",365.000,"['Venda Hotel Flat 35 m²', '1 Quarto', '1 Suíte']",10.428
"QI 25 Lote 5/17, GUARA II, GUARA",585.000,"['Venda Apartamento 80 m²', '3 Quartos', '2 Suítes', '1 Vaga']",7.312
"Rua 4, VICENTE PIRES, VICENTE PIRES",920.000,"['Venda Casa Condominio 400 m²', '4 Quartos', '2 Suítes', '10 Vagas']",2.300
"Região dos Lagos, CONDOMINIO RK, SOBRADINHO",950.000,"['Venda Casa Condominio 480 m²', '4 Quartos', '2 Suítes', '4 Vagas']",1.979
"Condomínio Resid Maxximo Garden, JARDIM BOTANICO, BRASILIA",280.000,['Venda Lote/Terreno 412 m²'],679
"Rua 3 Chacará 82, VICENTE PIRES, VICENTE PIRES",1.100.000,"['Venda Apartamento 203 m²', '3 Quartos', '3 Suítes', '3 Vagas']",5.418
"SQS 409, ASA SUL, BRASILIA",469.000,"['Venda Apartamento 66 m²', '2 Quartos']",7.106
"RODOVIA BR 0020 KM 2,5, REGIAO DOS LAGOS, SOBRADINHO",220.000,"['Venda Apartamento 44 m²', '2 Quartos']",5.000
"COLONIA AGRICOLA SAMAMBAIA, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",650.000,"['Venda Casa 622 m²', '3 Quartos', '2 Suítes', '10 Vagas']",1.045
"SQS 309, ASA SUL, BRASILIA",3.290.000,"['Venda Apartamento 282 m²', '5 Quartos', '3 Suítes', '2 Vagas']",11.666
"Quadra 107, NORTE, AGUAS CLARAS",705.000,"['Venda Apartamento 92 m²', '3 Quartos', '1 Suíte', '1 Vaga']",7.663
"Rua Das Pitangueiras, SUL, AGUAS CLARAS",510.000,"['Venda Apartamento 61 m²', '2 Quartos', '1 Suíte', '1 Vaga']",8.360
"Alameda Tororó, SETOR TORORO, BRASILIA",450.000,['Venda Lote/Terreno 2000 m²'],225
"Rua 10 Chacará 150, VICENTE PIRES, VICENTE PIRES",1.500.000,"['Venda Casa 320 m²', '4 Quartos', '4 Suítes', '4 Vagas']",4.687
"SQS 311 Bloco A, ASA SUL, BRASILIA",1.800.000,"['Venda Apartamento 148 m²', '3 Quartos', '3 Suítes', '1 Vaga']",12.162
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",350.000,"['Venda Apartamento 69 m²', '2 Quartos', '1 Suíte', '1 Vaga']",5.072
"SBN Quadra 2, ASA NORTE, BRASILIA",890.000,"['Venda Sala 89 m²', '4 Vagas']",10.000
"Rodovia DF 001 Altiplano Leste, PARANOA, PARANOA",190.000,['Venda Lote/Terreno 400 m²'],475
"AEN 09, SETOR NORTE, PLANALTINA",800.000,"['Venda Rural 0,04 ha', '4 Quartos', '4 Suítes']",1.904
"EQS 414/415, ASA SUL, BRASILIA",3.700.000,"['Venda Apartamento 185 m²', '3 Quartos', '3 Suítes']",20.000
"SMPW Quadra 16 Conjunto 3, PARK WAY, BRASILIA",3.100.000,"['Venda Casa Condominio 667 m²', '5 Quartos', '5 Suítes', '4 Vagas']",4.647
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",2.720.000,"['Venda Casa Condominio 490 m²', '5 Quartos', '4 Suítes', '2 Vagas']",5.551
"Quadra 301 Conjunto 1, SAMAMBAIA SUL, SAMAMBAIA",220.000,"['Venda Apartamento 35 m²', '1 Quarto', '1 Vaga']",6.143
"Rodovia DF 130 KM 31, PARANOA, PARANOA",260.000,"['Venda Rural 2,00 ha', '2 Quartos', '2 Vagas']",13
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",169.990,"['Venda Apartamento 56 m²', '2 Quartos', '1 Vaga']",3.035
"SQSW 102, SUDOESTE, BRASILIA",2.827.000,"['Venda Apartamento 257 m²', '4 Quartos', '2 Suítes', '2 Vagas']",11.000
"SHCES Quadra 1201 Bloco C, NOVO, CRUZEIRO",489.000,"['Venda Apartamento 70 m²', '3 Quartos', '1 Suíte']",6.985
"SMPW Quadra 5, PARK WAY, BRASILIA",5.500.000,"['Venda Casa Condominio 1200 m²', '5 Quartos', '5 Suítes', '4 Vagas']",4.583
"SGCV Lote 23, PARK SUL, BRASILIA",2.449.000,"['Venda Apartamento 202 m²', '4 Quartos', '4 Suítes', '4 Vagas']",12.123
"SMPW Quadra 1 Conjunto 1, PARK WAY, BRASILIA",1.500.000,"['Venda Casa 600 m²', '5 Quartos', '2 Suítes']",2.500
"Quadra 104, NORTE, AGUAS CLARAS",490.000,"['Venda Apartamento 83 m²', '2 Quartos', '2 Suítes', '2 Vagas']",5.903
"Condomínio Morada dos Nobres, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",850.000,"['Venda Casa 503 m²', '6 Quartos', '2 Suítes', '4 Vagas']",1.689
"SQNW 303 Bloco A, NOROESTE, BRASILIA",1.467.430,"['Venda Apartamento 97 m²', '3 Quartos', '1 Suíte', '2 Vagas']",15.022
"Rua 28, NORTE, AGUAS CLARAS",1.299.000,"['Venda Apartamento 176 m²', '4 Quartos', '3 Suítes', '3 Vagas']",7.380
"SHA Conjunto 5 Chacará 134C, ARNIQUEIRAS, AGUAS CLARAS",1.050.000,"['Venda Casa 330 m²', '4 Quartos', '3 Suítes', '4 Vagas']",3.181
"SHN Quadra 4, ASA NORTE, BRASILIA",280.000,"['Venda Hotel Flat 49 m²', '1 Quarto']",5.714
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",255.000,"['Venda Apartamento 70 m²', '3 Quartos', '1 Suíte']",3.642
"SQS 311 Bloco H, ASA SUL, BRASILIA",1.800.000,"['Venda Apartamento 150 m²', '4 Quartos', '3 Suítes', '1 Vaga']",12.000
"SHIS QI 5 Conjunto 7, LAGO SUL, BRASILIA",5.000.000,"['Venda Casa 760 m²', '7 Quartos', '4 Suítes', '2 Vagas']",6.578
"QNF 21, TAGUATINGA NORTE, TAGUATINGA",1.219.000,"['Venda Casa 469 m²', '6 Quartos', '5 Suítes', '4 Vagas']",2.599
"SQN 214, ASA NORTE, BRASILIA",2.100.000,"['Venda Apartamento 181 m²', '4 Quartos', '3 Suítes', '4 Vagas']",11.602
"SQNW 307, NOROESTE, BRASILIA",1.060.437,"['Venda Apartamento 74 m²', '2 Quartos', '1 Suíte', '1 Vaga']",14.154
"SQS 108, ASA SUL, BRASILIA",1.190.000,"['Venda Apartamento 149 m²', '3 Quartos', '1 Suíte']",7.986
"EPTG QE 1 Conjunto B, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",290.000,"['Venda Apartamento 55 m²', '2 Quartos', '2 Vagas']",5.272
"SQN 406 Bloco O, ASA NORTE, BRASILIA",588.000,"['Venda Apartamento 78 m²', '3 Quartos']",7.538
"Condomínio Ville Montagne, JARDIM BOTANICO, BRASILIA",1.795.000,"['Venda Casa 595 m²', '7 Quartos', '4 Suítes', '2 Vagas']",3.016
"Rua 3, VICENTE PIRES, VICENTE PIRES",380.000,['Venda Lote/Terreno 400 m²'],950
"QI 10 Bloco O, GUARA I, GUARA",310.000,"['Venda Apartamento 56 m²', '2 Quartos', '1 Vaga']",5.535
"SGCV, PARK SUL, BRASILIA",305.111,"['Venda Apartamento 26 m²', '1 Quarto', '1 Suíte', '1 Vaga']",11.690
"SQSW 302 Bloco E, SUDOESTE, BRASILIA",1.170.000,"['Venda Apartamento 96 m²', '3 Quartos', '1 Suíte', '1 Vaga']",12.133
"Rua 8, SETOR OESTE, SOBRADINHO",170.000,"['Venda Casa 78 m²', '2 Quartos', '1 Vaga']",2.179
"SQNW 104 Bloco J, NOROESTE, BRASILIA",1.860.000,"['Venda Apartamento 168 m²', '4 Quartos', '4 Suítes', '3 Vagas']",11.071
"SHIS QI 28, LAGO SUL, BRASILIA",2.962.500,"['Venda Casa 350 m²', '4 Quartos', '4 Suítes', '4 Vagas']",8.464
"SQS 403 Bloco H, ASA SUL, BRASILIA",910.000,"['Venda Apartamento 80 m²', '3 Quartos', '3 Suítes']",11.272
"SQNW 106 Bloco H, NOROESTE, BRASILIA",1.918.813,"['Venda Apartamento 161 m²', '2 Quartos', '1 Suíte', '2 Vagas']",11.900
"C 05 Lote 06, TAGUATINGA CENTRO, TAGUATINGA",219.000,"['Venda Apartamento 56 m²', '2 Quartos']",3.910
"Quadra C 6, TAGUATINGA CENTRO, TAGUATINGA",355.000,"['Venda Apartamento 74 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.797
"SHN Quadra 04 Bloco C 1º, ASA NORTE, BRASILIA",340.000,"['Venda Hotel Flat 42 m²', '1 Quarto', '1 Suíte']",8.095
"Euler Paranhos, REGIAO DOS LAGOS, SOBRADINHO",2.350.000,"['Venda Rural 3,00 ha', '3 Quartos', '2 Suítes', '4 Vagas']",78
"Avenida das Araucárias, SUL, AGUAS CLARAS",997.000,"['Venda Apartamento 128 m²', '4 Quartos', '2 Suítes', '3 Vagas']",7.789
"Quadra 101, RECANTO DAS EMAS, RECANTO DAS EMAS",360.000,"['Venda Casa 260 m²', '4 Quartos', '1 Suíte', '3 Vagas']",1.384
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",1.150.000,"['Venda Casa Condominio 250 m²', '3 Quartos', '2 Suítes', '7 Vagas']",4.600
"Rua 5, NORTE, AGUAS CLARAS",275.000,"['Venda Apartamento 35 m²', '1 Quarto', '1 Suíte', '1 Vaga']",7.857
"GRANJA DO TORTO, GRANJA DO TORTO, BRASILIA",1.100.000,"['Venda Casa 327 m²', '3 Quartos', '3 Suítes', '1 Vaga']",3.363
"QMS 20, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",300.000,"['Venda Casa 280 m²', '4 Quartos', '2 Vagas']",1.071
"Condomínio Rural Privê do Lago Sul, SETOR TORORO, BRASILIA",700.000,"['Venda Casa Condominio 300 m²', '3 Quartos', '3 Suítes']",2.333
"Rua 1 Chacará 25/2, VICENTE PIRES, VICENTE PIRES",1.050.000,"['Venda Casa 346 m²', '2 Quartos', '1 Suíte', '7 Vagas']",3.034
"SHN Quadra 02 Bloco J, ASA NORTE, BRASILIA",280.000,"['Venda Hotel Flat 32 m²', '1 Quarto', '1 Suíte']",8.750
"SEPS 713/913, ASA SUL, BRASILIA",289.000,"['Venda Kitnet 25 m²', '1 Quarto', '1 Vaga']",11.560
"SHIS QL 24 Conjunto 5, LAGO SUL, BRASILIA",14.000.000,"['Venda Casa 2032 m²', '6 Quartos', '6 Suítes', '15 Vagas']",6.889
"SHN Quadra 1 Bloco D, ASA NORTE, BRASILIA",270.000,['Venda Sala 33 m²'],8.181
"SQNW 303 Bloco A, NOROESTE, BRASILIA",2.506.795,"['Venda Apartamento 203 m²', '3 Quartos', '1 Suíte', '2 Vagas']",12.305
"RODOVIA DF 0425 KM 1,5, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",755.000,"['Venda Casa Condominio 300 m²', '2 Quartos', '2 Suítes', '4 Vagas']",2.516
"CRNW 510 Bloco B Lote 3, NOROESTE, BRASILIA",460.000,"['Venda Kitnet 33 m²', '1 Quarto', '1 Vaga']",13.939
"SHIS QI 23 Conjunto 9, LAGO SUL, BRASILIA",3.000.000,"['Venda Casa 660 m²', '6 Quartos', '5 Suítes', '4 Vagas']",4.545
"SQNW 106 Bloco J, NOROESTE, BRASILIA",1.530.000,"['Venda Apartamento 110 m²', '3 Quartos', '1 Suíte', '2 Vagas']",13.909
"QE 19, GUARA II, GUARA",680.000,"['Venda Casa 180 m²', '3 Quartos', '1 Suíte', '2 Vagas']",3.777
"SQS 112 Bloco H, ASA SUL, BRASILIA",6.500.000,"['Venda Apartamento 410 m²', '4 Quartos', '4 Suítes', '5 Vagas']",15.853
"SQNW 111 Bloco E, NOROESTE, BRASILIA",3.581.900,"['Venda Apartamento 301 m²', '4 Quartos', '4 Suítes', '4 Vagas']",11.900
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",499.908,"['Venda Apartamento 67 m²', '2 Quartos', '2 Suítes', '2 Vagas']",7.406
"SQNW 111 Bloco G, NOROESTE, BRASILIA",1.945.500,"['Venda Apartamento 152 m²', '4 Quartos', '4 Suítes', '3 Vagas']",12.747
"Rua 2, VICENTE PIRES, VICENTE PIRES",1.500.000,"['Venda Casa Condominio 450 m²', '4 Quartos', '4 Suítes', '6 Vagas']",3.333
"Area Especial 04 Lotes E F, GUARA II, GUARA",570.000,"['Venda Apartamento 62 m²', '2 Quartos', '2 Suítes', '1 Vaga']",9.193
"SHIN QI 7, LAGO NORTE, BRASILIA",2.237.500,"['Venda Casa 250 m²', '3 Quartos', '3 Suítes', '2 Vagas']",8.950
"Residencial 1 Quadra X, ALPHAVILLE BRASILIA, ALPHAVILLE",220.000,['Venda Lote/Terreno 563 m²'],390
"Rua 36, SUL, AGUAS CLARAS",6,"['Venda Apartamento 93 m²', '3 Quartos', '3 Suítes', '2 Vagas']",0
"SMDB Conjunto 12, LAGO SUL, BRASILIA",3.380.000,"['Venda Casa 600 m²', '4 Quartos', '4 Suítes', '2 Vagas']",5.633
"Área Especial 04, GUARA II, GUARA",239.000,"['Venda Apartamento 42 m²', '1 Quarto']",5.690
"EPTG QE 1, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",290.000,"['Venda Apartamento 61 m²', '2 Quartos', '1 Vaga']",4.754
"QMS 54, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",380.000,"['Venda Casa Condominio 300 m²', '4 Quartos', '2 Suítes']",1.266
"SQNW 104 Bloco A, NOROESTE, BRASILIA",1.077.000,"['Venda Apartamento 86 m²', '2 Quartos', '1 Suíte', '1 Vaga']",12.393
"SCS Quadra 02 Bloco D Lote 81, ASA SUL, BRASILIA",275.000,"['Venda Sala 41 m²', '1 Vaga']",6.707
"SQNW 311 Bloco H, NOROESTE, BRASILIA",2.146.000,"['Venda Apartamento 201 m²', '3 Quartos', '2 Suítes', '2 Vagas']",10.640
"SHIGS 715, ASA SUL, BRASILIA",1.337.000,"['Venda Casa 279 m²', '7 Quartos', '1 Suíte', '2 Vagas']",4.785
"Rua 12, VICENTE PIRES, VICENTE PIRES",1.549.000,"['Venda Casa Condominio 400 m²', '4 Quartos', '3 Suítes', '3 Vagas']",3.872
"SQN 311, ASA NORTE, BRASILIA",1.980.000,"['Venda Apartamento 163 m²', '4 Quartos', '2 Suítes', '2 Vagas']",12.147
"C 03/05 St Area Especiais S/N, TAGUATINGA CENTRO, TAGUATINGA",289.000,"['Venda Apartamento 59 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.898
"QNN 11, CEILANDIA NORTE, CEILANDIA",198.340,"['Venda Apartamento 42 m²', '2 Quartos', '1 Vaga']",4.658
"SHIS QL 6, LAGO SUL, BRASILIA",3.600.000,"['Venda Casa 700 m²', '7 Quartos', '6 Suítes', '4 Vagas']",5.142
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",2.200.000,"['Venda Casa 700 m²', '5 Quartos', '2 Suítes', '6 Vagas']",3.142
"SQNW 310 Bloco E, NOROESTE, BRASILIA",878.274,"['Venda Apartamento 74 m²', '2 Quartos', '2 Suítes', '1 Vaga']",11.868
"QNM 36 Conjunto B2, TAGUATINGA NORTE, TAGUATINGA",180.000,"['Venda Casa 144 m²', '3 Quartos', '1 Vaga']",1.250
"Rua 6, VICENTE PIRES, VICENTE PIRES",1.150.000,"['Venda Casa Condominio 300 m²', '4 Quartos', '4 Suítes', '4 Vagas']",3.833
"Condomínio Estancia Jardim Botânico, JARDIM BOTANICO, BRASILIA",1.050.000,"['Venda Casa 800 m²', '5 Quartos', '2 Suítes', '10 Vagas']",1.312
"Condomínio Quinta Interlagos, JARDIM BOTANICO, BRASILIA",780.000,"['Venda Casa Condominio 200 m²', '3 Quartos', '1 Suíte', '4 Vagas']",3.900
"QE 24 Conjunto E, GUARA II, GUARA",1.170.000,"['Venda Casa 240 m²', '6 Quartos', '3 Suítes', '6 Vagas']",4.875
"SQNW 306 Bloco H, NOROESTE, BRASILIA",2.822.830,"['Venda Apartamento 215 m²', '4 Quartos', '4 Suítes', '5 Vagas']",13.108
"CSG 3, TAGUATINGA SUL, TAGUATINGA",552.000,"['Venda Apartamento 83 m²', '2 Quartos', '1 Suíte', '2 Vagas']",6.650
"CA 02, LAGO NORTE, BRASILIA",369.309,"['Venda Apartamento 30 m²', '1 Quarto', '1 Vaga']",12.310
"CSG 3, TAGUATINGA SUL, TAGUATINGA",303.670,"['Venda Apartamento 68 m²', '1 Quarto', '1 Suíte', '1 Vaga']",4.465
"SHCES Quadra 1303 Bloco F, NOVO, CRUZEIRO",600.000,"['Venda Apartamento 62 m²', '3 Quartos']",9.677
"SES Quadra 11, SETOR ECONOMICO DE SOBRADINHO, SOBRADINHO",755.000,"['Venda Galpão 500 m²', '1 Vaga']",1.510
"SHIS QI 9, LAGO SUL, BRASILIA",5.500.000,"['Venda Casa 974 m²', '7 Quartos', '5 Suítes', '14 Vagas']",5.646
"Rua 10, VICENTE PIRES, VICENTE PIRES",1.590.000,"['Venda Casa 400 m²', '4 Quartos', '2 Suítes', '4 Vagas']",3.975
"Rodovia DF 135 KM 9, SETOR TORORO, BRASILIA",195.000,"['Venda Rural 2,00 ha']",9
"QNL 20 Conjunto B, TAGUATINGA NORTE, TAGUATINGA",250.000,"['Venda Casa 100 m²', '3 Quartos', '1 Suíte', '2 Vagas']",2.500
"QS 502, SAMAMBAIA SUL, SAMAMBAIA",520.000,"['Venda Apartamento 100 m²', '2 Quartos', '1 Suíte', '2 Vagas']",5.166
"Condomínio Parque Jardim das Paineiras, JARDIM BOTANICO, BRASILIA",1.650.000,"['Venda Casa 450 m²', '5 Quartos', '3 Suítes', '2 Vagas']",3.666
"SQNW 303 Bloco K, NOROESTE, BRASILIA",2.727.246,"['Venda Apartamento 196 m²', '4 Quartos', '4 Suítes', '4 Vagas']",13.913
"SHIS QI 23, LAGO SUL, BRASILIA",5.100.000,"['Venda Casa 638 m²', '5 Quartos', '5 Suítes', '4 Vagas']",7.993
"SQN 309, ASA NORTE, BRASILIA",1.350.000,"['Venda Apartamento 102 m²', '4 Quartos', '1 Suíte', '1 Vaga']",13.235
"SHIS QI 19, LAGO SUL, BRASILIA",2.260.000,['Venda Lote/Terreno 2335 m²'],967
"QS 9 Rua 123, AREAL, AGUAS CLARAS",110.000,"['Venda Apartamento 26 m²', '1 Quarto', '1 Vaga']",4.230
"SQNW 106, NOROESTE, BRASILIA",2.461.222,"['Venda Apartamento 224 m²', '4 Quartos', '2 Suítes', '3 Vagas']",10.971
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",280.000,"['Venda Apartamento 32 m²', '1 Quarto', '1 Suíte', '1 Vaga']",8.750
"Área Especial 02 A, GUARA II, GUARA",500.834,"['Venda Apartamento 56 m²', '2 Quartos', '1 Suíte', '2 Vagas']",8.875
"SQN 308, ASA NORTE, BRASILIA",1.290.000,"['Venda Apartamento 123 m²', '3 Quartos', '1 Suíte', '1 Vaga']",10.487
"Quadra 302 Conjunto 13, SAMAMBAIA SUL, SAMAMBAIA",289.915,"['Venda Apartamento 59 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.865
"QE 36, GUARA II, GUARA",849.000,"['Venda Casa 280 m²', '4 Quartos', '3 Suítes', '4 Vagas']",3.032
"Rua 8, NORTE, AGUAS CLARAS",1.150.000,"['Venda Apartamento 142 m²', '4 Quartos', '1 Suíte', '2 Vagas']",8.098
"SCRN 716 Bloco A, ASA NORTE, BRASILIA",335.000,"['Venda Apartamento 60 m²', '1 Quarto']",5.583
"Condomínio Estancia Jardim Botânico, JARDIM BOTANICO, BRASILIA",1.700.000,"['Venda Casa Condominio 587 m²', '4 Quartos', '1 Suíte', '3 Vagas']",2.896
"QE 26 Conjunto I, GUARA II, GUARA",1.189.000,"['Venda Casa 331 m²', '4 Quartos', '2 Suítes', '3 Vagas']",3.592
"Quadra 205, SUL, AGUAS CLARAS",1.250.000,"['Venda Apartamento 168 m²', '4 Quartos', '2 Suítes', '2 Vagas']",7.440
"CNF 3, TAGUATINGA NORTE, TAGUATINGA",135.000,"['Venda Apartamento 55 m²', '2 Quartos']",2.454
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",450.000,"['Venda Apartamento 82 m²', '3 Quartos', '1 Suíte', '1 Vaga']",5.487
"QE 26 Conjunto T, GUARA II, GUARA",1.349.999,"['Venda Casa 400 m²', '6 Quartos', '1 Suíte', '6 Vagas']",3.375
"SHIS QL 24, LAGO SUL, BRASILIA",7.900.000,"['Venda Casa 798 m²', '5 Quartos', '5 Suítes']",9.899
"SHIN QL 11, LAGO NORTE, BRASILIA",5.950.000,"['Venda Casa 700 m²', '4 Quartos', '4 Suítes']",8.500
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",1.150.000,"['Venda Casa Condominio 201 m²', '3 Quartos', '3 Suítes', '2 Vagas']",5.721
"CA 11, LAGO NORTE, BRASILIA",370.000,"['Venda Sala 51 m²', '1 Vaga']",7.254
"CLN 116 Bloco G, ASA NORTE, BRASILIA",180.000,['Venda Loja 31 m²'],5.785
"QE 5, GUARA I, GUARA",241.032,"['Venda Apartamento 31 m²', '1 Quarto', '1 Suíte', '1 Vaga']",7.775
"SQS 213, ASA SUL, BRASILIA",1.790.000,"['Venda Apartamento 178 m²', '4 Quartos', '1 Suíte', '1 Vaga']",10.056
"SHIS QL 20 Conjunto 2, LAGO SUL, BRASILIA",4.500.000,"['Venda Casa 1000 m²', '4 Quartos', '4 Suítes', '4 Vagas']",4.500
"SHIS QI 7, LAGO SUL, BRASILIA",3.475.000,"['Venda Casa 300 m²', '4 Quartos', '4 Suítes', '4 Vagas']",11.583
"Quadra 2 Conjunto A10 Bloco D, SOBRADINHO, SOBRADINHO",539.000,"['Venda Apartamento 80 m²', '3 Quartos', '1 Suíte', '1 Vaga']",6.737
"QE 14, GUARA I, GUARA",1.100.000,"['Venda Casa 200 m²', '3 Quartos', '3 Suítes', '3 Vagas']",5.500
"QR 212, SAMAMBAIA NORTE, SAMAMBAIA",450.000,"['Venda Casa 250 m²', '5 Quartos', '2 Suítes', '4 Vagas']",1.800
"SMPW Quadra 15 Conjunto 2, PARK WAY, BRASILIA",1.200.000,['Venda Lote/Terreno 2000 m²'],600
"Area Especial 04 Lotes E F, GUARA II, GUARA",570.000,"['Venda Apartamento 62 m²', '2 Quartos', '1 Suíte', '1 Vaga']",9.193
"SCRN 702/703, ASA NORTE, BRASILIA",695.000,"['Venda Apartamento 145 m²', '5 Quartos', '1 Suíte']",4.793
"SMPW Quadra 5 Conjunto 5, PARK WAY, BRASILIA",1.600.000,['Venda Lote/Terreno 2500 m²'],640
"SHIN QL 5, LAGO NORTE, BRASILIA",2.700.000,"['Venda Casa 890 m²', '4 Quartos', '4 Suítes', '4 Vagas']",3.033
"SQN 310, ASA NORTE, BRASILIA",1.330.000,"['Venda Apartamento 110 m²', '3 Quartos', '1 Suíte', '1 Vaga']",12.090
"COLONIA AGRICOLA SAMAMBAIA, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",1.200.000,"['Venda Casa 290 m²', '3 Quartos', '3 Suítes', '2 Vagas']",4.137
"SQN 303, ASA NORTE, BRASILIA",3.150.000,"['Venda Apartamento 225 m²', '4 Quartos', '4 Suítes', '3 Vagas']",14.000
"CA 09, LAGO NORTE, BRASILIA",580.000,"['Venda Apartamento 59 m²', '2 Quartos', '1 Vaga']",9.830
"SQSW 504 Bloco G, SUDOESTE, BRASILIA",1.470.000,"['Venda Apartamento 130 m²', '4 Quartos', '1 Suíte', '2 Vagas']",11.307
"SHIN QI 16, LAGO NORTE, BRASILIA",2.200.000,"['Venda Casa 600 m²', '5 Quartos', '2 Suítes', '3 Vagas']",3.666
"SMPW Quadra 19, PARK WAY, BRASILIA",990.000,['Venda Lote/Terreno 2012 m²'],492
"QNO 17 Conjunto 1, CEILANDIA NORTE, CEILANDIA",155.000,"['Venda Casa 112 m²', '3 Quartos', '2 Vagas']",1.383
"QRI 20, RESIDENCIAL SANTOS DUMONT, SANTA MARIA",698.000,"['Venda Casa Condominio 372 m²', '6 Quartos', '2 Suítes', '4 Vagas']",1.876
"Área Especial 4 Módulo E, GUARA II, GUARA",570.000,"['Venda Apartamento 62 m²', '2 Quartos', '1 Suíte', '1 Vaga']",9.193
"QE 34 Conjunto F, GUARA II, GUARA",1.250.000,"['Venda Casa 420 m²', '6 Quartos', '2 Suítes', '4 Vagas']",2.976
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",166.000,"['Venda Apartamento 60 m²', '2 Quartos', '1 Vaga']",2.766
"SMPW Quadra 5, PARK WAY, BRASILIA",2.100.000,"['Venda Casa Condominio 500 m²', '4 Quartos', '2 Suítes', '3 Vagas']",4.200
"SHN Quadra 05 Bloco I, ASA NORTE, BRASILIA",380.000,"['Venda Ponto Comercial 49 m²', '1 Suíte']",7.755
"SMPW Quadra 23 Conjunto 4, PARK WAY, BRASILIA",1.780.000,"['Venda Casa Condominio 435 m²', '5 Quartos', '3 Suítes', '5 Vagas']",4.091
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",1.100.000,"['Venda Casa Condominio 700 m²', '6 Quartos', '6 Suítes', '2 Vagas']",1.571
"SQN 315 Bloco I, ASA NORTE, BRASILIA",1.500.000,"['Venda Apartamento 120 m²', '3 Quartos', '1 Suíte', '1 Vaga']",12.500
"Rua 8, VICENTE PIRES, VICENTE PIRES",8.500.000,['Venda Lote/Terreno 30000 m²'],283
"SHIS QL 8, LAGO SUL, BRASILIA",9.800.000,"['Venda Casa 1172 m²', '5 Quartos', '5 Suítes', '3 Vagas']",8.361
"SHN Quadra 5 Bloco G, ASA NORTE, BRASILIA",225.000,"['Venda Kitnet 30 m²', '1 Quarto']",7.500
"QI 31, GUARA II, GUARA",800.000,"['Venda Apartamento 80 m²', '3 Quartos', '1 Suíte', '1 Vaga']",10.000
"SQNW 104, NOROESTE, BRASILIA",1.850.000,"['Venda Apartamento 141 m²', '3 Quartos', '3 Suítes', '2 Vagas']",13.120
"SGAN 915 Módulo G, ASA NORTE, BRASILIA",690.000,['Venda Loja 73 m²'],9.452
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",620.000,"['Venda Casa Condominio 90 m²', '2 Quartos', '2 Vagas']",6.888
"SGAN 911 Módulo F, ASA NORTE, BRASILIA",240.000,"['Venda Kitnet 29 m²', '1 Quarto', '1 Suíte', '1 Vaga']",8.275
"Rua 9, GUARA II, GUARA",140.000,"['Venda Apartamento 60 m²', '3 Quartos', '1 Suíte']",2.333
"Avenida das Araucárias, SUL, AGUAS CLARAS",1.028.001,"['Venda Apartamento 128 m²', '4 Quartos', '2 Vagas']",8.031
"CNB 4, TAGUATINGA NORTE, TAGUATINGA",175.000,"['Venda Apartamento 43 m²', '2 Quartos']",4.032
"Rua 24, NORTE, AGUAS CLARAS",1.450.000,"['Venda Apartamento 184 m²', '4 Quartos', '4 Suítes', '2 Vagas']",7.880
"SCN Quadra 02 Bloco D, ASA NORTE, BRASILIA",198.000,['Venda Sala 32 m²'],6.187
"QE 46 Conjunto Q, GUARA II, GUARA",630.000,"['Venda Casa 171 m²', '4 Quartos', '1 Suíte', '3 Vagas']",3.684
"SGAN 601 Módulo H, ASA NORTE, BRASILIA",824.779,"['Venda Sala 65 m²', '2 Vagas']",12.649
