value,address_1,address_2,areas,bedrooms,spaces,bathrooms
980.000,Condomínio Morada de Deus, Setor Habitacional Jardim Botânico,450,4,6,6
1.300.000,Vicente Pires, Brasília,290,3,4,5
745.000,QND 41, Taguatinga Norte,350,3,3,3
480.000,Rodovia DF-250, Paranoá,120,3,4,5
415.000,Ceilandia Norte, Brasília,80,3,2,2
480.000,Rodovia DF-150, Setor Habitacional Contagem,180,4,4,3
440.000,Rua 8, Sul,60,2,1,2
190.000,STN, Asa Norte,32,,,1
210.000,QNO 16 Conjunto 65, Ceilandia Norte,132,3,3,3
179.000,QNQ 2 Conjunto 21, Ceilandia Norte,126,2,2,1
225.000,Taguatinga Norte, Brasília,78,3,2,2
300.000,QN 8F Conjunto 7, Riacho Fundo II,152,3,2,3
1.400.000,Setor Habitacional Vicente Pires, Brasília,650,5,5,8
540.000,CA 9, Lago Norte,68,2,2,2
250.000,Ceilandia Sul, Brasília,58,2,1,2
330.000,Quadra 204 Conjunto 2, Recanto das Emas,197,3,4,2
340.000,QS 6 Conjunto 3, Riacho Fundo I,144,4,2,3
199.000,QR 303 Conjunto 1, Samambaia Sul,52,2,1,2
165.000,QR 431 Conjunto 5,,112,2,2,2
265.000,QNP 32 Conjunto L, Ceilandia Sul,135,3,3,3
190.000,QR 421 Conjunto 17, Samambaia Norte,130,3,2,3
4.529.596,SQNW 106 Bloco D, Setor Noroeste,332,4,4,8
974.240,SQNW 302 Bloco D, Setor Noroeste,71,2,1,3
2.101.895,SQNW 102 Bloco E, Setor Noroeste,130,3,2,5
1.250.000,Rua 8, Vicente Pires,378,4,5,5
4.000.000,EQS 414/415, Lago Sul,312,5,3,1
130.000,QN 204 Conjunto 2, Samambaia Norte,54,2,,2
369.000,QNP 26 Conjunto G, Ceilandia Sul,135,3,2,3
790.000,Setor Habitacional Arniqueira, Brasília,360,3,,4
130.000,QNM 12, Ceilandia Norte,63,2,2,2
200.000,DF-, Lago Norte,800,1,2,2
269.900,Quadra 300 Conjunto 2, Recanto das Emas,130,4,2,2
130.000,Recanto das Emas, Brasília,90,3,5,2
300.000,Quadra 58 Conjunto J, Vila Sao Jose,300,4,2,3
310.000,SHPS Quadra 206 Conjunto B, Setor Habitacional Por do Sol,330,3,3,2
1.150.000,SQN 313 Bloco G, Asa Norte,102,3,1,3
799.000,SQN 312 Bloco E, Asa Norte,69,3,1,2
280.000,Recanto das Emas, Brasília,185,3,,3
290.000,Ceilandia Norte, Brasília,130,3,3,2
430.000,Rua Rodobelo I, Ponte Alta Norte,800,4,10,3
250.000,QN 614 Conjunto B, Samambaia Norte,58,2,1,2
114.900,Rua 8, Vila Sao Jose,60,2,1,2
479.000,Setor Habitacional Arniqueira, Brasília,180,3,4,3
400.000,Norte, Brasília,60,2,1,2
540.000,Avenida das Araucárias, Aguas Claras,75,3,1,2
2.429.749,SQNW 106 Bloco D, Setor Noroeste,165,4,3,6
1.060.500,SQNW 307 Bloco H, Setor Noroeste,73 - 150 m²,2,1 - 2,3
1.412.000,SQNW 311 Bloco H, Setor Noroeste,103 - 212 m²,3,2 - 3,3 - 4
260.000,Setor Habitacional Jardim Botânico, Brasília,65,2,,1
350.000,Riacho Fundo I, Brasília,200,3,2,3
110.000,SGAS 902, Asa Sul,360,,,
264.000,Samambaia Norte, Brasília,59,2,1,2
380.000,Chácara 13, Riacho Fundo I,230,3,10,3
148.900,Avenida Monumental, Santa Maria,60,2,1,1
520.000,Rua 36, Norte,92,3,2,2
350.000,QR 406 Conjunto 27, Samambaia Norte,122,3,2,2
500.000,Rua Chiara, Ponte Alta Norte,550,3,2,3
590.000,Rua 1 Chácara 1, Setor Habitacional Vicente Pires,210,3,3,3
450.000,Setor Habitacional Arniqueira, Brasília,240,3,,3
350.000,Ceilandia Sul, Brasília,200,3,5,3
220.000,Quadra 311 Conjunto 11, Recanto das Emas,270,5,3,2
280.000,Setor Habitacional Jardim Botânico, Brasília,547,,,
230.000,Quadra 14, Gama,168,3,2,2
380.000,QNO 7 Conjunto A, Ceilandia Norte,166,3,3,3
250.000,Taguatinga Norte, Brasília,140,3,3,2
280.000,Quadra 1, Gama,147,3,3,2
190.000,Setor Habitacional Sol Nascente, Ceilandia Sul,250,3,3,2
280.000,Quadra 104 Conjunto 18, Recanto das Emas,150,3,5,2
195.000,Guara II, Brasília,110,2,,3
3.996.984,SQNW 302 Bloco C, Setor Noroeste,293,4,4,6
1.945.500,SQNW 111 Bloco G, Setor Noroeste,152 - 336 m²,4,3 - 4,6
1.907.673,SQNW 106 Bloco J, Setor Noroeste,110 - 275 m²,3,2 - 3,4 - 5
980.000,Condomínio Morada de Deus, Setor Habitacional Jardim Botânico,450,4,6,6
1.150.000,SEPS 714/914, Asa Sul,114,,1,3
1.300.000,Vicente Pires, Brasília,290,3,4,5
700.000,Rua 9, Aguas Claras,118,3,2,3
219.993,Ceilandia Norte, Brasília,121,3,2,2
235.000,Quadra 803 Conjunto 32, Recanto das Emas,170,2,4,2
390.000,Recanto das Emas, Brasília,280,3,2,2
179.900,QNO 19 Conjunto 7, Ceilandia Norte,143,2,4,1
380.000,EQNP 8/12, Ceilandia Sul,220,4,2,4
145.000,QI 3, Setor Industrial,51,2,1,2
181.900,QS 118 Conjunto 3, Samambaia Sul,54,2,1,2
1.490.000,Setor Habitacional Vicente Pires, Brasília,390,5,5,5
550.000,, Brasília,343,3,12,3
490.000,SHA Conjunto 6, Setor Habitacional Arniqueira,120,3,2,2
220.000,QMS 5, Setor de Mansões de Sobradinho,120,4,5,1
189.000,Samambaia Norte, Brasília,130,3,3,2
201.500,Samambaia Sul, Brasília,61,2,1,2
370.000,QNM 38 Conjunto P, Taguatinga Norte,250,3,2,2
139.900,Quadra 509 Conjunto 7, Recanto das Emas,100,2,3,2
36.000,Ponte Alta Norte, Brasília,475,,,
150.000,QR 427 Conjunto 1, Samambaia Norte,110,3,3,1
